,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Chicago Bears,NFC NORTH,14,14,15,12/20/2020,Sun,Away,MIN,W,33,27,,15,21,71.4,198,1,9.4,8.24,96.9,1,4,42,199,2,4.7,64,397,6.2,4,4,3,3,1,44,10,13,0,23,6,12,0,0,4,36,0,1,1,32:59:00
Chicago Bears,NFC NORTH,15,15,16,12/27/2020,Sun,Away,JAX,W,41,17,,24,36,66.7,263,2,7.3,7.17,95,1,2,33,128,3,3.9,70,391,5.59,2,2,5,5,3,133,18,8,2,28,6,12,2,2,4,40,0,1,1,33:00:00
Chicago Bears,NFC NORTH,16,16,17,1/3/2021,Sun,Home,GNB,L,16,35,,33,42,78.6,248,0,5.9,4.83,81.3,1,4,31,108,1,3.5,74,356,4.81,3,3,1,1,1,53,12,9,0,21,6,15,5,6,1,16,1,1,2,35:28:00
Chicago Bears,NFC NORTH,1,1,1,9/12/2021,Sun,Away,LAR,L,14,34,,29,40,72.5,188,0,4.7,3.58,71.7,3,28,26,134,2,5.2,69,322,4.67,0,0,2,2,1,36,13,10,1,24,5,11,0,4,3,35,1,1,2,35:14:00
Chicago Bears,NFC NORTH,2,2,2,9/19/2021,Sun,Home,CIN,W,20,17,,15,24,62.5,83,1,3.5,2.42,65.1,3,33,34,123,0,3.6,61,206,3.38,2,2,2,2,4,169,7,6,3,16,6,15,0,1,8,70,0,1,1,31:21:00
Chicago Bears,NFC NORTH,3,3,3,9/26/2021,Sun,Away,CLE,L,6,26,,6,20,30,1,0,0.1,0.05,39.6,9,67,13,46,0,3.5,42,47,1.12,2,2,0,0,7,397,2,2,2,6,1,11,0,1,5,49,0,0,0,20:26
Chicago Bears,NFC NORTH,4,4,4,10/3/2021,Sun,Home,DET,W,24,14,,11,17,64.7,185,0,10.9,8.24,76.8,1,24,39,188,3,4.8,57,373,6.54,1,1,3,3,3,159,5,13,2,20,1,8,1,1,7,61,0,1,1,28:43:00
Chicago Bears,NFC NORTH,5,5,5,10/10/2021,Sun,Away,LVR,W,20,9,,13,21,61.9,109,1,5.2,6.14,91.2,2,10,37,143,1,3.9,60,252,4.2,2,2,2,2,5,234,8,7,4,19,6,13,0,0,8,70,0,0,0,32:02:00
Chicago Bears,NFC NORTH,6,6,6,10/17/2021,Sun,Home,GNB,L,14,24,,16,27,59.3,137,1,5.1,4.15,69.5,4,37,26,140,1,5.4,57,277,4.86,0,0,2,2,4,161,10,10,1,21,4,11,1,2,7,54,0,1,1,27:43:00
Chicago Bears,NFC NORTH,7,7,7,10/24/2021,Sun,Away,TAM,L,3,38,,22,32,68.8,168,0,5.3,1.03,42.2,4,16,29,143,0,4.9,65,311,4.78,1,1,0,0,4,160,11,6,0,17,2,11,0,1,4,32,2,3,5,28:55:00
Chicago Bears,NFC NORTH,8,8,8,10/31/2021,Sun,Home,SFO,L,22,33,,19,27,70.4,148,1,5.5,4.56,80.5,4,27,36,176,1,4.9,67,324,4.84,3,3,2,1,2,85,10,9,3,22,8,15,1,1,4,30,0,1,1,36:49:00
Chicago Bears,NFC NORTH,9,9,9,11/8/2021,Mon,Away,PIT,L,27,29,,17,29,58.6,278,1,9.6,8.72,88,3,13,26,136,1,5.2,58,414,7.14,3,2,3,3,5,234,11,7,2,20,4,12,0,0,12,115,1,1,2,26:02:00
Chicago Bears,NFC NORTH,10,10,11,11/21/2021,Sun,Home,BAL,L,13,16,,15,34,44.1,261,2,7.7,8.85,90.4,3,19,20,92,0,4.6,57,353,6.19,1,0,1,1,5,205,10,3,1,14,2,11,2,3,6,58,1,0,1,21:10
Chicago Bears,NFC NORTH,11,11,12,11/25/2021,Thu,Away,DET,W,16,14,,24,39,61.5,310,1,7.9,7.31,84.3,1,7,29,68,0,2.3,69,378,5.48,4,3,1,1,4,183,18,3,0,21,5,13,0,0,5,50,0,1,1,32:56:00
Chicago Bears,NFC NORTH,12,12,13,12/5/2021,Sun,Home,ARI,L,22,33,,26,41,63.4,217,2,5.3,1.88,53.7,3,12,27,112,1,4.1,71,329,4.63,0,0,2,2,2,91,14,8,4,26,6,15,4,4,6,45,0,4,4,34:45:00
Chicago Bears,NFC NORTH,13,13,14,12/12/2021,Sun,Away,GNB,L,30,45,,18,33,54.5,210,2,6.4,4.85,69,2,14,23,137,0,6,58,347,5.98,3,3,3,3,4,185,7,7,2,16,5,13,0,1,7,41,1,2,3,25:00:00
Chicago Bears,NFC NORTH,14,14,15,12/20/2021,Mon,Home,MIN,L,9,17,,26,39,66.7,255,1,6.5,7.05,93.4,3,30,28,115,0,4.1,70,370,5.29,2,1,0,0,3,161,13,8,3,24,2,12,2,5,9,91,3,0,3,29:15:00
Chicago Bears,NFC NORTH,15,15,16,12/26/2021,Sun,Away,SEA,W,25,24,,24,35,68.6,229,1,6.5,7.11,96,4,21,30,88,2,2.9,69,317,4.59,1,1,2,2,3,135,14,9,3,26,7,14,1,3,8,73,0,0,0,38:25:00
Chicago Bears,NFC NORTH,16,16,17,1/2/2022,Sun,Home,NYG,W,29,3,,18,36,50,162,1,4.5,2.56,48.6,2,11,27,87,2,3.2,65,249,3.83,2,2,3,3,5,227,10,6,1,17,6,16,2,3,5,35,0,2,2,30:08:00
Chicago Bears,NFC NORTH,17,17,18,1/9/2022,Sun,Away,MIN,L,17,31,,33,48,68.8,266,1,5.5,4.08,72,7,59,25,90,0,3.6,80,356,4.45,3,3,0,0,1,43,17,5,2,24,5,15,1,6,2,10,0,2,2,36:47:00
Chicago Bears,NFC NORTH,1,1,1,9/11/2022,Sun,Home,SFO,W,19,10,,8,17,47.1,105,2,6.2,5.88,81.7,2,16,37,99,1,2.7,56,204,3.64,0,0,3,1,6,277,4,6,5,15,5,14,0,0,3,24,0,1,1,26:32:00
Chicago Bears,NFC NORTH,2,2,2,9/18/2022,Sun,Away,GNB,L,10,27,,7,11,63.6,48,0,4.4,0.27,35.4,3,22,27,180,1,6.7,41,228,5.56,1,1,1,1,4,198,2,9,0,11,1,7,0,1,7,50,0,1,1,22:45
Chicago Bears,NFC NORTH,3,3,3,9/25/2022,Sun,Home,HOU,W,23,20,,8,17,47.1,82,0,4.8,-0.47,21.8,5,24,40,281,2,7,62,363,5.85,3,3,2,2,4,182,5,12,0,17,6,14,0,0,6,32,0,2,2,31:22:00
Chicago Bears,NFC NORTH,4,4,4,10/2/2022,Sun,Away,NYG,L,12,20,,11,22,50,155,0,7,7.05,73.1,6,19,32,149,0,4.7,60,304,5.07,4,4,0,0,5,264,6,7,3,16,5,15,0,0,5,65,3,0,3,28:43:00
Chicago Bears,NFC NORTH,5,5,5,10/9/2022,Sun,Away,MIN,L,22,29,,15,21,71.4,193,1,9.2,10.14,115.8,2,15,24,78,1,3.3,47,271,5.77,3,3,1,1,2,112,9,4,1,14,4,10,1,1,6,40,1,0,1,23:16
Chicago Bears,NFC NORTH,6,6,6,10/13/2022,Thu,Home,WAS,L,7,12,,14,27,51.9,154,1,5.7,4.78,66,5,36,37,237,0,6.4,69,391,5.67,0,0,1,1,4,185,9,9,2,20,5,13,1,4,4,42,1,1,2,32:12:00
Chicago Bears,NFC NORTH,7,7,7,10/24/2022,Mon,Away,NWE,W,33,14,,13,21,61.9,147,1,7,5.81,78.9,4,32,45,243,2,5.4,70,390,5.57,4,4,3,3,2,81,10,13,1,24,11,18,0,1,4,35,0,1,1,37:14:00
Chicago Bears,NFC NORTH,8,8,8,10/30/2022,Sun,Away,DAL,L,29,49,,18,24,75,131,2,5.5,7.13,115.1,4,25,43,240,2,5.6,71,371,5.23,1,1,2,2,4,203,4,15,3,22,6,15,2,3,6,45,1,0,1,36:04:00
Chicago Bears,NFC NORTH,9,9,9,11/6/2022,Sun,Home,MIA,L,32,35,,17,28,60.7,116,3,4.1,6.29,105.7,2,7,40,252,1,6.3,70,368,5.26,1,1,3,3,3,83,7,15,1,23,10,16,1,2,4,92,0,0,0,34:46:00
Chicago Bears,NFC NORTH,10,10,10,11/13/2022,Sun,Home,DET,L,30,31,,12,20,60,150,2,7.5,7.25,95.8,3,17,35,258,2,7.4,58,408,7.03,1,1,4,3,3,129,6,12,1,19,6,11,0,1,9,86,0,1,1,29:12:00
Chicago Bears,NFC NORTH,11,11,11,11/20/2022,Sun,Away,ATL,L,24,27,,14,21,66.7,128,1,6.1,4.9,79.1,4,25,41,160,2,3.9,66,288,4.36,2,1,3,3,4,160,7,12,1,20,9,16,0,0,7,56,0,1,1,35:10:00
Chicago Bears,NFC NORTH,12,12,12,11/27/2022,Sun,Away,NYJ,L,10,31,,14,25,56,165,1,6.6,5.6,72.9,2,14,29,127,0,4.4,56,292,5.21,1,1,1,1,5,244,7,7,0,14,4,13,2,3,1,10,0,1,1,27:55:00
Chicago Bears,NFC NORTH,13,13,13,12/4/2022,Sun,Home,GNB,L,19,28,,20,25,80,254,0,10.2,6.56,75.7,0,0,25,155,2,6.2,50,409,8.18,3,2,2,1,1,39,8,7,0,15,6,11,0,0,5,63,1,2,3,27:32:00
Chicago Bears,NFC NORTH,14,14,15,12/18/2022,Sun,Home,PHI,L,20,25,,14,22,63.6,91,2,4.1,5.95,102.7,6,61,30,157,1,5.2,58,248,4.28,0,0,3,2,6,252,8,7,0,15,5,13,0,1,6,30,1,0,1,30:07:00
Chicago Bears,NFC NORTH,15,15,16,12/24/2022,Sat,Home,BUF,L,13,35,,18,28,64.3,129,1,4.6,3.71,71.9,2,15,29,80,0,2.8,59,209,3.54,2,2,1,1,4,197,6,4,1,11,2,12,1,4,2,15,1,1,2,31:12:00
Chicago Bears,NFC NORTH,16,16,17,1/1/2023,Sun,Away,DET,L,10,41,,7,21,33.3,30,1,1.4,0.24,38.4,7,45,22,200,0,9.1,50,230,4.6,1,1,1,1,7,321,2,5,2,9,3,13,0,1,3,49,1,1,2,24:17:00
Chicago Bears,NFC NORTH,17,17,18,1/8/2023,Sun,Home,MIN,L,13,29,,13,27,48.1,141,1,5.2,2.63,45.4,1,6,22,118,1,5.4,50,259,5.18,0,0,1,1,3,111,9,4,0,13,2,9,0,3,2,20,0,2,2,23:24
Chicago Bears,NFC NORTH,1,1,1,9/10/2023,Sun,Home,GNB,L,20,38,,24,37,64.9,189,1,5.1,4.43,75.2,4,27,29,122,1,4.2,70,311,4.44,2,2,0,0,4,212,12,8,2,22,3,13,1,2,7,61,1,1,2,30:43:00
Chicago Bears,NFC NORTH,2,2,2,9/17/2023,Sun,Away,TAM,L,17,27,,16,29,55.2,169,1,5.8,3.41,55.1,6,42,16,67,1,4.2,51,236,4.63,1,1,2,2,5,232,9,5,0,14,6,13,0,0,5,28,0,2,2,24:04:00
Chicago Bears,NFC NORTH,3,3,3,9/24/2023,Sun,Away,KAN,L,10,41,,11,22,50,87,1,4,2.82,56.4,3,12,26,116,0,4.5,51,203,3.98,1,1,1,1,5,229,5,6,0,11,4,12,1,2,6,32,1,1,2,23:47
Chicago Bears,NFC NORTH,4,4,4,10/1/2023,Sun,Home,DEN,L,28,31,,28,35,80,300,4,8.6,9.57,128.6,4,35,31,171,0,5.5,70,471,6.73,0,0,4,4,2,90,17,7,2,26,6,12,1,3,10,91,1,1,2,33:49:00
Chicago Bears,NFC NORTH,5,5,5,10/5/2023,Thu,Away,WAS,W,40,20,,15,29,51.7,273,4,9.4,12.17,124,3,9,32,178,0,5.6,64,451,7.05,4,4,4,4,3,131,9,9,0,18,7,15,1,1,3,35,0,0,0,30:04:00
Chicago Bears,NFC NORTH,6,6,6,10/15/2023,Sun,Home,MIN,L,13,19,,16,24,66.7,113,0,4.7,0.96,42.5,5,28,36,162,1,4.5,65,275,4.23,2,2,1,1,4,176,8,9,1,18,6,14,0,1,5,29,1,2,3,35:11:00
Chicago Bears,NFC NORTH,7,7,7,10/22/2023,Sun,Home,LVR,W,30,12,,21,29,72.4,150,1,5.2,5.86,95.5,2,12,38,173,2,4.6,69,323,4.68,1,1,4,3,3,120,10,13,0,23,8,13,0,1,9,110,0,0,0,34:06:00
Chicago Bears,NFC NORTH,8,8,8,10/29/2023,Sun,Away,LAC,L,13,30,,25,37,67.6,222,0,6,3.57,60.9,1,10,25,73,2,2.9,63,295,4.68,0,0,1,1,3,126,10,7,0,17,6,14,1,4,7,53,0,2,2,28:32:00
Chicago Bears,NFC NORTH,9,9,9,11/5/2023,Sun,Away,NOR,L,17,24,,18,30,60,212,2,7.1,3.9,64.2,2,8,32,156,0,4.9,64,368,5.75,2,1,2,2,2,95,13,7,0,20,6,12,1,1,8,71,2,3,5,30:40:00
Chicago Bears,NFC NORTH,10,10,10,11/9/2023,Thu,Home,CAR,W,16,13,,20,33,60.6,162,0,4.9,4.91,73,0,0,37,133,1,3.6,70,295,4.21,3,3,1,1,6,280,10,10,1,21,6,15,1,1,7,44,0,0,0,33:31:00
Chicago Bears,NFC NORTH,11,11,11,11/19/2023,Sun,Away,DET,L,26,31,,16,23,69.6,151,1,6.6,7.43,101.9,2,18,46,183,1,4,71,334,4.7,4,4,2,2,2,91,10,11,4,25,5,13,2,2,6,69,1,0,1,40:24:00
Chicago Bears,NFC NORTH,12,12,12,11/27/2023,Mon,Away,MIN,W,12,10,,27,37,73,199,0,5.4,5.38,85.3,3,18,28,118,0,4.2,68,317,4.66,5,4,0,0,3,137,12,6,0,18,8,18,1,1,7,76,2,0,2,35:50:00
Chicago Bears,NFC NORTH,13,13,14,12/10/2023,Sun,Home,DET,W,28,13,,19,33,57.6,194,1,5.9,6.48,84.7,3,29,30,142,2,4.7,66,336,5.09,3,3,2,1,3,129,10,7,3,20,6,14,1,2,4,35,0,0,0,33:19:00
Chicago Bears,NFC NORTH,14,14,15,12/17/2023,Sun,Away,CLE,L,17,20,,19,40,47.5,148,1,3.7,1.95,44.6,3,18,27,88,0,3.3,70,236,3.37,1,1,2,2,10,448,6,5,1,12,4,18,0,2,4,19,1,2,3,29:00:00
Chicago Bears,NFC NORTH,15,15,16,12/24/2023,Sun,Home,ARI,W,27,16,,15,27,55.6,170,1,6.3,5.37,71.5,1,0,39,250,2,6.4,67,420,6.27,2,2,3,3,5,260,8,13,1,22,8,15,0,0,5,35,0,1,1,34:32:00
Chicago Bears,NFC NORTH,16,16,17,12/31/2023,Sun,Home,ATL,W,37,17,,20,32,62.5,240,1,7.5,8.13,95.8,3,28,37,192,3,5.2,72,432,6,4,3,4,4,4,195,12,10,0,22,6,16,1,2,5,55,0,0,0,37:14:00
Chicago Bears,NFC NORTH,17,17,18,1/7/2024,Sun,Away,GNB,L,9,17,,11,16,68.8,117,0,7.3,7.31,89.8,5,31,25,75,0,3,46,192,4.17,3,3,0,0,3,137,8,4,1,13,3,11,1,1,1,10,0,0,0,28:36:00
Minnesota Vikings,NFC NORTH,1,1,1,9/9/2018,Sun,Home,SFO,W,24,16,,20,36,55.6,227,2,6.3,7.42,93.2,3,17,32,116,0,3.6,71,343,4.83,1,1,3,3,6,230,15,3,1,19,7,17,0,1,7,52,1,0,1,31:09:00
Minnesota Vikings,NFC NORTH,2,2,2,9/16/2018,Sun,Away,GNB,T,29,29,OT,35,48,72.9,412,4,8.6,9.31,117.7,2,13,18,68,0,3.8,68,480,7.06,3,0,3,3,5,204,20,3,1,24,7,14,0,0,8,70,0,1,1,31:52:00
Minnesota Vikings,NFC NORTH,3,3,3,9/23/2018,Sun,Home,BUF,L,6,27,,40,55,72.7,278,1,5.1,4.6,82.2,4,18,6,14,0,2.3,65,292,4.49,0,0,0,0,5,259,17,1,3,21,5,14,0,1,6,59,2,1,3,24:15:00
Minnesota Vikings,NFC NORTH,4,4,4,9/27/2018,Thu,Away,LAR,L,31,38,,36,50,72,392,3,7.8,9.04,114.7,4,30,17,54,0,3.2,71,446,6.28,3,3,2,2,4,159,22,3,0,25,8,16,2,2,4,35,1,0,1,32:14:00
Minnesota Vikings,NFC NORTH,5,5,5,10/7/2018,Sun,Away,PHI,W,23,21,,30,37,81.1,298,1,8.1,8.59,109.2,1,3,23,77,0,3.3,61,375,6.15,5,3,2,2,2,78,13,5,1,19,4,11,0,0,4,23,1,0,1,32:47:00
Minnesota Vikings,NFC NORTH,6,6,6,10/14/2018,Sun,Home,ARI,W,27,17,,24,34,70.6,216,1,6.4,5.62,84.9,4,17,32,195,2,6.1,70,411,5.87,2,2,3,3,5,225,12,8,0,20,5,14,0,1,9,52,1,1,2,34:22:00
Minnesota Vikings,NFC NORTH,7,7,7,10/21/2018,Sun,Away,NYJ,W,37,17,,25,40,62.5,228,2,5.7,6.7,94.6,1,13,24,88,2,3.7,65,316,4.86,4,3,4,4,8,382,10,3,2,15,2,15,1,1,6,55,0,0,0,32:11:00
Minnesota Vikings,NFC NORTH,8,8,8,10/28/2018,Sun,Home,NOR,L,20,30,,31,41,75.6,338,2,8.2,8.12,105.5,4,21,22,85,1,3.9,67,423,6.31,0,0,3,2,2,81,19,4,4,27,5,10,2,3,6,54,1,1,2,31:23:00
Minnesota Vikings,NFC NORTH,9,9,9,11/4/2018,Sun,Home,DET,W,24,9,,18,22,81.8,155,1,7,5.91,92.2,1,9,23,128,1,5.6,46,283,6.15,1,1,3,3,4,163,10,3,4,17,3,8,1,1,3,15,1,1,2,23:15
Minnesota Vikings,NFC NORTH,10,10,11,11/18/2018,Sun,Away,CHI,L,20,25,,30,46,65.2,246,2,5.3,4.26,75.1,2,16,14,22,0,1.6,62,268,4.32,2,2,0,0,4,178,15,2,2,19,5,12,1,1,4,50,1,2,3,25:31:00
Minnesota Vikings,NFC NORTH,11,11,12,11/25/2018,Sun,Home,GNB,W,24,17,,29,38,76.3,325,3,8.6,10.13,127.6,2,17,29,91,0,3.1,69,416,6.03,3,1,3,3,4,183,18,4,0,22,7,14,0,1,6,55,0,0,0,34:37:00
Minnesota Vikings,NFC NORTH,12,12,13,12/2/2018,Sun,Away,NWE,L,10,24,,32,44,72.7,183,1,4.2,2.57,68.7,2,18,13,95,0,7.3,59,278,4.71,2,1,1,1,5,228,11,5,0,16,3,12,1,2,5,55,0,2,2,26:39:00
Minnesota Vikings,NFC NORTH,13,13,14,12/10/2018,Mon,Away,SEA,L,7,21,,20,33,60.6,199,1,6,6.64,87.8,2,9,21,77,0,3.7,56,276,4.93,1,0,1,1,5,213,9,5,2,16,2,10,0,2,4,51,1,0,1,28:11:00
Minnesota Vikings,NFC NORTH,14,14,15,12/16/2018,Sun,Home,MIA,W,41,17,,14,21,66.7,198,2,9.4,9.19,108.8,2,17,40,220,3,5.5,63,418,6.63,2,2,5,5,3,127,10,10,2,22,5,13,0,0,6,45,0,1,1,33:16:00
Minnesota Vikings,NFC NORTH,15,15,16,12/23/2018,Sun,Away,DET,W,27,9,,21,28,75,240,3,8.6,10.71,136,2,13,28,100,0,3.6,58,340,5.86,2,2,3,3,6,288,11,4,1,16,4,13,0,1,11,78,0,0,0,28:32:00
Minnesota Vikings,NFC NORTH,16,16,17,12/30/2018,Sun,Home,CHI,L,10,24,,20,33,60.6,101,1,3.1,3.67,75.4,4,31,15,63,0,4.2,52,164,3.15,1,1,1,1,5,257,6,3,3,12,1,11,1,4,3,30,0,0,0,22:52
Minnesota Vikings,NFC NORTH,1,1,1,9/8/2019,Sun,Home,ATL,W,28,12,,8,10,80,97,1,9.7,11.7,140.4,1,1,38,172,3,4.5,49,269,5.49,0,0,4,4,5,247,4,10,4,18,5,10,0,0,11,100,0,0,0,29:47:00
Minnesota Vikings,NFC NORTH,2,2,2,9/15/2019,Sun,Away,GNB,L,16,21,,14,32,43.8,223,1,7,4.78,52,1,7,27,198,1,7.3,60,421,7.02,2,1,2,1,6,264,6,8,1,15,4,13,0,0,8,100,2,2,4,25:54:00
Minnesota Vikings,NFC NORTH,3,3,3,9/22/2019,Sun,Home,OAK,W,34,14,,15,21,71.4,174,1,8.3,9.24,112,0,0,38,211,3,5.6,59,385,6.53,2,2,4,4,2,95,8,10,5,23,5,9,0,0,6,59,0,0,0,31:32:00
Minnesota Vikings,NFC NORTH,4,4,4,9/29/2019,Sun,Away,CHI,L,6,16,,27,36,75,182,0,5.1,5.06,85.6,6,51,16,40,1,2.5,58,222,3.83,0,0,0,0,5,235,9,3,3,15,5,13,1,2,7,55,2,0,2,24:33:00
Minnesota Vikings,NFC NORTH,5,5,5,10/6/2019,Sun,Away,NYG,W,28,10,,22,27,81.5,279,2,10.3,11.81,134.4,3,27,34,211,0,6.2,64,490,7.66,4,4,2,2,1,57,14,6,2,22,5,11,1,1,12,112,1,0,1,32:40:00
Minnesota Vikings,NFC NORTH,6,6,6,10/13/2019,Sun,Home,PHI,W,38,20,,22,29,75.9,325,4,11.2,12.41,137.2,1,8,35,122,1,3.5,65,447,6.88,1,1,5,5,3,123,14,8,4,26,2,10,1,1,4,30,1,1,2,32:04:00
Minnesota Vikings,NFC NORTH,7,7,7,10/20/2019,Sun,Away,DET,W,42,30,,24,34,70.6,338,4,9.9,12.29,141.5,0,0,37,166,2,4.5,71,504,7.1,1,0,6,6,2,98,19,10,3,32,6,10,0,0,6,60,0,0,0,32:10:00
Minnesota Vikings,NFC NORTH,8,8,8,10/24/2019,Thu,Home,WAS,W,19,9,,23,26,88.5,273,0,10.5,10.5,110.4,3,12,38,161,1,4.2,67,434,6.48,4,4,1,1,0,0,9,10,3,22,8,15,1,3,7,74,1,0,1,36:36:00
Minnesota Vikings,NFC NORTH,9,9,9,11/3/2019,Sun,Away,KAN,L,23,26,,19,38,50,212,3,5.6,7.16,93.3,1,8,27,96,0,3.6,66,308,4.67,1,1,3,2,8,353,12,4,1,17,5,15,1,1,3,25,0,0,0,28:12:00
Minnesota Vikings,NFC NORTH,10,10,10,11/10/2019,Sun,Away,DAL,W,28,24,,23,32,71.9,211,2,6.6,7.84,110.3,1,9,36,153,1,4.3,69,364,5.28,2,2,2,2,4,170,15,9,3,27,8,14,1,1,5,35,0,0,0,33:27:00
Minnesota Vikings,NFC NORTH,11,11,11,11/17/2019,Sun,Home,DEN,W,27,23,,29,35,82.9,284,3,8.1,9.83,129,5,35,18,37,1,2.1,58,321,5.53,0,0,3,3,5,236,13,5,1,19,5,12,2,2,5,49,2,0,2,23:17
Minnesota Vikings,NFC NORTH,12,12,13,12/2/2019,Mon,Away,SEA,L,30,37,,22,38,57.9,276,2,7.3,7.13,87.2,0,0,14,78,1,5.6,52,354,6.81,1,1,4,3,4,170,12,4,1,17,5,10,0,1,3,30,2,1,3,20:15
Minnesota Vikings,NFC NORTH,13,13,14,12/8/2019,Sun,Home,DET,W,20,7,,24,30,80,234,1,7.8,8.47,110.3,1,8,39,120,1,3.1,70,354,5.06,2,2,2,2,6,222,14,5,3,22,5,14,0,1,8,55,0,0,0,33:43:00
Minnesota Vikings,NFC NORTH,14,14,15,12/15/2019,Sun,Away,LAC,W,39,10,,19,25,76,207,1,8.3,7.28,96.6,0,0,37,137,2,3.7,62,344,5.55,4,4,4,3,2,103,10,6,2,18,7,14,0,0,5,41,0,1,1,32:21:00
Minnesota Vikings,NFC NORTH,15,15,16,12/23/2019,Mon,Home,GNB,L,10,23,,16,32,50,82,1,2.6,1.78,53.6,5,40,16,57,0,3.6,53,139,2.62,1,1,1,1,8,377,6,1,0,7,4,15,0,2,3,30,0,1,1,22:28
Minnesota Vikings,NFC NORTH,16,16,17,12/29/2019,Sun,Home,CHI,L,19,21,,12,21,57.1,126,0,6,1.71,35.1,0,0,26,174,1,6.7,47,300,6.38,4,4,1,1,1,52,6,7,1,14,4,9,0,0,3,40,1,2,3,22:20
Minnesota Vikings,NFC NORTH,1,1,1,9/13/2020,Sun,Home,GNB,L,34,43,,19,25,76,248,2,9.9,9.72,116.7,2,11,22,134,2,6.1,49,382,7.8,1,1,1,1,2,80,12,10,3,25,3,6,0,1,5,20,0,1,1,18:44
Minnesota Vikings,NFC NORTH,2,2,2,9/20/2020,Sun,Away,IND,L,11,28,,11,26,42.3,95,0,3.7,-1.54,13,3,18,18,80,1,4.4,47,175,3.72,1,1,0,0,4,168,5,3,4,12,2,9,0,0,6,45,0,3,3,21:35
Minnesota Vikings,NFC NORTH,3,3,3,9/27/2020,Sun,Home,TEN,L,30,31,,16,27,59.3,238,3,8.8,7.7,94.4,2,13,33,226,1,6.8,62,464,7.48,2,1,3,3,3,132,11,10,1,22,4,10,0,1,3,20,1,2,3,28:28:00
Minnesota Vikings,NFC NORTH,4,4,4,10/4/2020,Sun,Away,HOU,W,31,23,,16,22,72.7,248,1,11.3,12.18,124.8,3,12,40,162,3,4.1,65,410,6.31,2,1,4,4,4,166,10,14,0,24,5,12,1,1,4,36,0,0,0,36:31:00
Minnesota Vikings,NFC NORTH,5,5,5,10/11/2020,Sun,Away,SEA,L,26,27,,27,39,69.2,248,2,6.4,6.23,92.7,3,1,41,201,1,4.9,83,449,5.41,2,2,2,2,2,96,17,12,2,31,6,14,2,3,6,55,1,1,2,39:28:00
Minnesota Vikings,NFC NORTH,6,6,6,10/18/2020,Sun,Home,ATL,L,23,40,,24,36,66.7,333,3,9.3,7.17,89.2,1,10,13,32,0,2.5,50,365,7.3,0,0,1,1,4,198,14,3,2,19,3,10,1,2,3,30,0,3,3,19:53
Minnesota Vikings,NFC NORTH,7,7,8,11/1/2020,Sun,Away,GNB,W,28,22,,11,14,78.6,151,1,10.8,12.21,135.4,1,9,34,173,3,5.1,49,324,6.61,0,0,4,4,3,113,6,11,3,20,4,8,1,1,7,36,0,0,0,27:48:00
Minnesota Vikings,NFC NORTH,8,8,9,11/8/2020,Sun,Home,DET,W,34,20,,13,20,65,212,3,10.6,13.6,140,1,8,34,275,2,8.1,55,487,8.85,0,0,5,4,5,157,11,10,1,22,4,10,0,1,9,69,0,0,0,27:11:00
Minnesota Vikings,NFC NORTH,9,9,10,11/16/2020,Mon,Away,CHI,W,19,13,,25,36,69.4,286,2,7.9,7.81,100,1,6,33,99,0,3,70,385,5.5,2,2,1,1,5,208,14,4,1,19,8,15,0,0,4,35,1,1,2,35:50:00
Minnesota Vikings,NFC NORTH,10,10,11,11/22/2020,Sun,Home,DAL,L,28,31,,22,30,73.3,305,3,10.2,12.17,138.9,2,9,29,125,1,4.3,61,430,7.05,0,0,4,4,3,154,14,9,1,24,6,10,0,1,8,80,2,0,2,31:49:00
Minnesota Vikings,NFC NORTH,11,11,12,11/29/2020,Sun,Home,CAR,W,28,27,,34,45,75.6,291,3,6.5,7.8,114.2,2,16,24,96,0,4,71,387,5.45,2,2,2,2,3,153,18,7,1,26,6,13,1,1,8,52,3,0,3,31:13:00
Minnesota Vikings,NFC NORTH,12,12,13,12/6/2020,Sun,Home,JAX,W,27,24,OT,28,43,65.1,275,3,6.4,6.74,96.6,4,30,38,145,0,3.8,85,420,4.94,3,2,3,1,7,331,17,10,3,30,7,16,0,0,6,41,1,1,2,37:33:00
Minnesota Vikings,NFC NORTH,13,13,14,12/13/2020,Sun,Away,TAM,L,14,26,,24,37,64.9,173,1,4.7,5.22,84.6,6,52,33,162,1,4.9,76,335,4.41,3,0,1,0,2,76,14,11,2,27,5,15,4,5,5,71,1,0,1,39:03:00
Minnesota Vikings,NFC NORTH,14,14,15,12/20/2020,Sun,Home,CHI,L,27,33,,24,35,68.6,249,2,7.1,6.97,96,3,22,28,158,1,5.6,66,407,6.17,2,2,3,3,2,80,12,11,3,26,4,11,0,2,1,5,0,1,1,27:01:00
